company_name,contact_email,website,industry,city,state,country,phone,review_rating,review_count
Okayama Kobo Bakery & Cafe,user@domain.com,http://www.okayamakobousa.com/,Bakery,Anaheim,California,US,(714) 603-7332,4.700000,825
California Roadside Service,info@caroadside.com,https://www.californiaroadside.com/,Towing service,Anaheim,California,US,(714) 989-7030,3.200000,113
Downtown Anaheim,info@indiantypefoundry.com,http://www.downtownanaheim.com/,Association / Organization,Anaheim,California,US,(714) 956-3586,4.600000,217
Requiem: Item Shop,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,http://requiemcafe.shop/,Collectibles store,Anaheim,California,US,(714) 215-4241,3.400000,7
Strong Water Anaheim,ahoy@strongwateranaheim.com,http://www.strongwateranaheim.com/,Tiki bar,Anaheim,California,US,(714) 844-1875,4.800000,618
Craft by Smoke and Fire,ef5d9bbac3354b759bfd7a23c3313b3f@o244637.ingest.us.sentry.io,https://www.craftbysmokeandfire.com/,Barbecue restaurant,Anaheim,California,US,(714) 603-7194,4.400000,1430
Orange County Congregation Community,info@occcopico.org,http://www.occcopico.org/,Non-profit organization,Anaheim,California,US,(714) 491-0771,4.500000,15
Colony Wine Merchant,events@colonywinemerchant.com,http://colonywinemerchant.com/,Bar,Anaheim,California,US,(657) 208-1860,4.900000,94
Access California Services,request@accesscal.org,https://www.accesscal.org/,Non-profit organization,Anaheim,California,US,(714) 917-0440,4.300000,220
California Home Furnishings,info@californiahomefurnishings.com,http://www.californiahomefurnishings.com/,Furniture store,Anaheim,California,US,(213) 399-9399,4.200000,85
Windsor Brown's,user@domain.com,http://www.windsorbrowns.com/,Sandwich shop,Anaheim,California,US,(714) 603-7637,4.900000,134
California Department of Rehabilitation Anaheim District Office,webmaster@dor.ca.gov,https://www.dor.ca.gov/,State government office,Anaheim,California,US,(714) 991-0800,4.400000,13
"Requiem: Coffee, Tea, and Fantasy",collaborations@requiemcafe.com,https://www.requiemcafe.com/,Cafe,Anaheim,California,US,(714) 844-2245,4.400000,1123
House Of Chimney Cakes,user@domain.com,http://thehouseofchimneycakes.com/,Ice cream shop,Anaheim,California,US,(714) 603-7859,4.400000,551
