company_name,contact_email,website,industry,city,state,country,phone,review_rating,review_count
Irvine,pio@cityofirvine.org,http://www.cityofirvine.org/,,,,,,0.000000,0
Anaheim Packing District,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.anaheimpackingdistrict.com/,Food court,Anaheim,California,US,(714) 533-7225,4.600000,14315
California Department of Rehabilitation Anaheim District Office,webmaster@dor.ca.gov,https://www.dor.ca.gov/,State government office,Anaheim,California,US,(714) 991-0800,4.300000,12
Parfait Paris,contact@parfaitparis.com,https://parfaitparis.com/,Bakery,Anaheim,California,US,(714) 783-7851,4.500000,346
California Roadside Service,info@caroadside.com,https://www.californiaroadside.com/,Towing service,Anaheim,California,US,(714) 989-7030,3.200000,113
Sweetheart's Dessert Lounge,sweetheartsoc@gmail.com,https://linktr.ee/sweetheartsdl,Dessert shop,Anaheim,California,US,(714) 603-7773,4.600000,67
CA Office Interiors Inc.,coi@caofficeinteriors.com,http://www.caofficeinteriors.com/home,Office furniture store,Anaheim,California,US,(562) 921-5900,4.500000,8
CA Kitchens Floors & Baths,info@cakitchens.com,https://www.cakitchens.com/,General contractor,Anaheim,California,US,(714) 632-1111,4.000000,48
Access California Services,request@accesscal.org,https://www.accesscal.org/,Non-profit organization,Anaheim,California,US,(714) 917-0440,4.300000,220
CDS; Clean Diesel Specialists - Anaheim - CARB Truck Check,info@cds.direct,https://www.cleandieselspecialists.com/,Diesel engine repair service,Anaheim,California,US,(714) 276-2020,4.100000,20
